type	latitude	longitude	altitude (m)	name	desc
T	44.121330000	5.249250000	684.5		
T	44.121360000	5.249290000	684.9		
T	44.121390000	5.249320000	685.2		
T	44.121410000	5.249330000	685.3		
T	44.121430000	5.249330000	685.2		
T	44.121460000	5.249330000	685.2		
T	44.121500000	5.249330000	685.0		
T	44.121540000	5.249310000	684.8		
T	44.121570000	5.249300000	684.6		
T	44.121620000	5.249270000	684.4		
T	44.121680000	5.249230000	684.4		
T	44.121790000	5.249160000	685.8		
T	44.121840000	5.249140000	686.7		
T	44.121880000	5.249120000	687.5		
T	44.121930000	5.249100000	688.5		
T	44.121970000	5.249090000	689.2		
T	44.122030000	5.249090000	690.0		
T	44.122080000	5.249100000	690.6		
T	44.122120000	5.249120000	690.9		
T	44.122160000	5.249150000	691.2		
T	44.122200000	5.249190000	691.8		
T	44.122230000	5.249230000	692.6		
T	44.122270000	5.249280000	693.6		
T	44.122310000	5.249350000	694.4		
T	44.122540000	5.249740000	699.6		
T	44.122660000	5.249920000	701.7		
T	44.122820000	5.250190000	703.7		
T	44.122970000	5.250460000	705.7		
T	44.123090000	5.250660000	706.8		
T	44.123280000	5.251000000	708.3		
T	44.123480000	5.251330000	711.3		
T	44.123580000	5.251480000	712.3		
T	44.123940000	5.252090000	717.3		
T	44.124240000	5.252590000	722.3		
T	44.124460000	5.252960000	725.9		
T	44.124580000	5.253170000	728.2		
T	44.124640000	5.253280000	728.7		
T	44.124660000	5.253350000	728.8		
T	44.124680000	5.253430000	729.0		
T	44.124700000	5.253520000	729.1		
T	44.124700000	5.253610000	729.2		
T	44.124700000	5.253710000	729.6		
T	44.124700000	5.253790000	729.9		
T	44.124700000	5.253880000	730.3		
T	44.124680000	5.254460000	735.2		
T	44.124670000	5.254720000	735.7		
T	44.124660000	5.254960000	738.2		
T	44.124660000	5.255170000	740.3		
T	44.124660000	5.255270000	741.4		
T	44.124660000	5.255360000	742.6		
T	44.124670000	5.255420000	743.1		
T	44.124680000	5.255460000	743.3		
T	44.124680000	5.255510000	744.0		
T	44.124690000	5.255560000	744.3		
T	44.124710000	5.255640000	744.4		
T	44.124750000	5.255850000	746.1		
T	44.124780000	5.256030000	746.5		
T	44.124840000	5.256250000	747.5		
T	44.124880000	5.256440000	748.4		
T	44.124910000	5.256570000	748.9		
T	44.124930000	5.256690000	749.1		
T	44.124960000	5.256820000	749.6		
T	44.125020000	5.257020000	751.3		
T	44.125100000	5.257390000	758.0		
T	44.125120000	5.257490000	760.0		
T	44.125140000	5.257560000	761.5		
T	44.125150000	5.257620000	762.6		
T	44.125150000	5.257690000	763.7		
T	44.125160000	5.257750000	764.7		
T	44.125160000	5.257820000	765.5		
T	44.125150000	5.257890000	766.1		
T	44.125140000	5.257960000	766.6		
T	44.125120000	5.258020000	767.1		
T	44.125100000	5.258090000	767.5		
T	44.125080000	5.258150000	767.6		
T	44.125050000	5.258210000	767.7		
T	44.125010000	5.258270000	767.8		
T	44.124970000	5.258330000	768.5		
T	44.124930000	5.258380000	769.4		
T	44.124890000	5.258430000	770.2		
T	44.124800000	5.258540000	771.8		
T	44.124690000	5.258690000	773.3		
T	44.124650000	5.258740000	774.0		
T	44.124570000	5.258850000	775.4		
T	44.124530000	5.258900000	776.2		
T	44.124490000	5.258960000	777.1		
T	44.124460000	5.259020000	777.7		
T	44.124430000	5.259090000	778.5		
T	44.124400000	5.259160000	779.4		
T	44.124380000	5.259240000	779.6		
T	44.124370000	5.259320000	779.4		
T	44.124360000	5.259400000	779.1		
T	44.124350000	5.259500000	778.6		
T	44.124330000	5.259750000	777.3		
T	44.124300000	5.260230000	780.1		
T	44.124300000	5.260490000	783.6		
T	44.124290000	5.260580000	785.1		
T	44.124300000	5.260660000	786.3		
T	44.124310000	5.260740000	787.4		
T	44.124330000	5.260830000	788.6		
T	44.124360000	5.260900000	788.9		
T	44.124390000	5.260990000	789.5		
T	44.124420000	5.261060000	789.8		
T	44.124490000	5.261210000	790.9		
T	44.124520000	5.261280000	791.5		
T	44.124550000	5.261360000	792.2		
T	44.124580000	5.261440000	793.1		
T	44.124590000	5.261490000	793.8		
T	44.124590000	5.261600000	795.2		
T	44.124590000	5.261690000	796.3		
T	44.124580000	5.261760000	797.0		
T	44.124560000	5.261860000	798.1		
T	44.124550000	5.261930000	798.8		
T	44.124530000	5.262020000	799.5		
T	44.124490000	5.262180000	800.7		
T	44.124440000	5.262440000	802.6		
T	44.124350000	5.262870000	807.1		
T	44.124320000	5.263020000	808.3		
T	44.124310000	5.263120000	809.0		
T	44.124290000	5.263250000	809.8		
T	44.124280000	5.263380000	810.7		
T	44.124280000	5.263520000	812.0		
T	44.124270000	5.263600000	812.6		
T	44.124260000	5.263690000	813.2		
T	44.124250000	5.263810000	814.0		
T	44.124230000	5.263900000	814.5		
T	44.124200000	5.263970000	814.8		
T	44.124180000	5.264040000	815.2		
T	44.124150000	5.264110000	815.8		
T	44.124130000	5.264180000	816.6		
T	44.124100000	5.264240000	817.2		
T	44.124070000	5.264310000	817.9		
T	44.124040000	5.264370000	818.6		
T	44.124020000	5.264440000	819.1		
T	44.123990000	5.264520000	820.4		
T	44.123970000	5.264580000	821.3		
T	44.123960000	5.264660000	822.3		
T	44.123950000	5.264740000	823.3		
T	44.123950000	5.264810000	824.1		
T	44.123960000	5.264880000	824.7		
T	44.123970000	5.264960000	825.4		
T	44.123980000	5.265020000	826.0		
T	44.124000000	5.265090000	826.6		
T	44.124020000	5.265150000	827.0		
T	44.124050000	5.265200000	827.1		
T	44.124130000	5.265420000	828.7		
T	44.124190000	5.265570000	830.0		
T	44.124240000	5.265710000	831.7		
T	44.124300000	5.265820000	832.8		
T	44.124330000	5.265880000	833.6		
T	44.124370000	5.265930000	834.2		
T	44.124400000	5.265980000	834.9		
T	44.124440000	5.266030000	835.6		
T	44.124470000	5.266070000	836.3		
T	44.124510000	5.266110000	837.0		
T	44.124550000	5.266150000	837.8		
