type	latitude	longitude	altitude (m)	name	desc
T	50.958010000	3.465920000	5.7		
T	50.957360000	3.464930000	4.8		
T	50.956780000	3.464090000	4.8		
T	50.956260000	3.463390000	4.9		
T	50.956010000	3.463100000	5.1		
T	50.955460000	3.462400000	2.8		
T	50.954140000	3.460890000	4.0		
T	50.953400000	3.460100000	3.9		
T	50.952730000	3.459440000	5.2		
T	50.951560000	3.458360000	9.9		
T	50.951550000	3.458360000	9.9		
T	50.949030000	3.456070000	3.9		
T	50.948620000	3.455710000	4.0		
T	50.948200000	3.455330000	2.6		
T	50.947980000	3.455120000	2.4		
T	50.944620000	3.452080000	6.2		
T	50.944060000	3.451560000	7.6		
T	50.943900000	3.451400000	6.1		
T	50.943830000	3.451330000	5.6		
T	50.943750000	3.451250000	5.0		
T	50.943720000	3.451220000	4.8		
T	50.943620000	3.451130000	4.1		
T	50.943570000	3.451070000	4.0		
T	50.943290000	3.450810000	3.0		
T	50.942990000	3.450530000	3.4		
T	50.942950000	3.450490000	3.8		
T	50.942750000	3.450310000	5.0		
T	50.942470000	3.450020000	5.9		
T	50.942420000	3.449980000	5.6		
T	50.942300000	3.449850000	4.7		
T	50.942130000	3.449700000	4.0		
T	50.941940000	3.449500000	4.0		
T	50.941470000	3.449030000	4.0		
T	50.941090000	3.448650000	4.1		
T	50.940710000	3.448270000	4.3		
T	50.940350000	3.447900000	3.9		
T	50.940010000	3.447560000	4.0		
T	50.939810000	3.447360000	3.0		
T	50.939270000	3.446830000	1.6		
T	50.938690000	3.446260000	2.3		
T	50.938170000	3.445740000	3.7		
T	50.937730000	3.445290000	4.8		
T	50.936960000	3.444530000	5.9		
T	50.936860000	3.444430000	5.9		
T	50.936760000	3.444330000	5.6		
T	50.935220000	3.442770000	8.4		
T	50.933480000	3.441050000	8.2		
T	50.932650000	3.440240000	10.1		
T	50.931470000	3.439040000	7.2		
T	50.931170000	3.438730000	6.7		
T	50.931170000	3.438730000	6.7		
T	50.930460000	3.436710000	10.4		
T	50.930420000	3.436600000	10.0		
T	50.930420000	3.436600000	10.0		
T	50.930380000	3.436660000	10.6		
T	50.930200000	3.436850000	11.7		
T	50.929900000	3.437200000	13.0		
T	50.929800000	3.437320000	12.0		
T	50.929610000	3.437540000	9.4		
T	50.929570000	3.437590000	8.5		
T	50.929180000	3.438070000	5.9		
T	50.929120000	3.438140000	6.4		
